neg,neu,pos,compound
0.039,0.935,0.026,-0.0516
0.068,0.822,0.11,0.9682
0.068,0.822,0.11,0.9682
0.053,0.9,0.047,-0.5994
0.053,0.9,0.047,-0.5994
0.009,0.868,0.123,0.9709
0.009,0.868,0.123,0.9709
0.016,0.921,0.063,0.7184
0.016,0.921,0.063,0.7184
0.036,0.882,0.082,0.6808
0.036,0.882,0.082,0.6808
0.058,0.763,0.179,0.8271
0.058,0.763,0.179,0.8271
0.066,0.754,0.18,0.8807
0.066,0.754,0.18,0.8807
0.063,0.845,0.092,0.4094
0.063,0.845,0.092,0.4094
0.03,0.904,0.067,0.8863
0.03,0.904,0.067,0.8863
0.148,0.794,0.058,-0.8316
0.148,0.794,0.058,-0.8316
0.051,0.761,0.189,0.8885
0.051,0.761,0.189,0.8885
0.031,0.903,0.066,0.802
0.031,0.903,0.066,0.802
0.02,0.932,0.048,0.4404
0.02,0.932,0.048,0.4404
0.04,0.936,0.024,-0.3612
0.04,0.936,0.024,-0.3612
0.041,0.897,0.062,0.2263
0.041,0.897,0.062,0.2263
0.045,0.834,0.121,0.9231
0.045,0.834,0.121,0.9231
0.07,0.849,0.081,-0.25
0.07,0.849,0.081,-0.25
0.0,0.836,0.164,0.6908
0.0,0.836,0.164,0.6908
0.031,0.936,0.033,0.1531
0.031,0.936,0.033,0.1531
0.047,0.883,0.07,0.6908
0.047,0.883,0.07,0.6908
0.0,0.928,0.072,0.5859
0.0,0.928,0.072,0.5859
0.0,0.753,0.247,0.3182
0.0,0.753,0.247,0.3182
0.021,0.86,0.119,0.8934
0.021,0.86,0.119,0.8934
0.186,0.787,0.027,-0.9517
0.186,0.787,0.027,-0.9517
0.034,0.877,0.089,0.9287
0.034,0.877,0.089,0.9287
0.079,0.874,0.047,-0.5994
0.079,0.874,0.047,-0.5994
0.049,0.881,0.069,0.6705
0.049,0.881,0.069,0.6705
0.023,0.933,0.044,0.5574
0.023,0.933,0.044,0.5574
0.0,0.921,0.079,0.4404
0.0,0.921,0.079,0.4404
0.054,0.862,0.085,0.8126
0.054,0.862,0.085,0.8126
0.028,0.86,0.112,0.7783
0.028,0.86,0.112,0.7783
0.027,0.928,0.045,0.3182
0.027,0.928,0.045,0.3182
0.0,0.896,0.104,0.9201
0.0,0.896,0.104,0.9201
0.0,0.921,0.079,0.4404
0.0,0.921,0.079,0.4404
0.0,0.881,0.119,0.6705
0.0,0.881,0.119,0.6705
0.066,0.72,0.214,0.872
0.066,0.72,0.214,0.872
0.033,0.844,0.124,0.7964
0.033,0.844,0.124,0.7964
0.028,0.892,0.08,0.6249
0.028,0.892,0.08,0.6249
0.0,0.625,0.375,0.34
0.0,0.625,0.375,0.34
0.083,0.872,0.044,-0.7003
0.083,0.872,0.044,-0.7003
0.0,0.815,0.185,0.3612
0.0,0.815,0.185,0.3612
0.0,0.828,0.172,0.3612
0.0,0.828,0.172,0.3612
0.052,0.879,0.069,0.836
0.052,0.879,0.069,0.836
0.048,0.851,0.101,0.936
0.048,0.851,0.101,0.936
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.172,0.675,0.153,-0.0772
0.172,0.675,0.153,-0.0772
0.0,0.773,0.227,0.9666
0.0,0.773,0.227,0.9666
0.104,0.831,0.065,-0.4939
0.104,0.831,0.065,-0.4939
0.0,0.815,0.185,0.3612
0.0,0.815,0.185,0.3612
0.0,0.839,0.161,0.3612
0.0,0.839,0.161,0.3612
0.032,0.879,0.089,0.9905
0.032,0.879,0.089,0.9905
0.046,0.821,0.133,0.9607
0.046,0.821,0.133,0.9607
0.1,0.762,0.138,0.91
0.1,0.762,0.138,0.91
0.157,0.843,0.0,-0.5994
0.157,0.843,0.0,-0.5994
0.0,0.848,0.152,0.3612
0.0,0.848,0.152,0.3612
0.053,0.853,0.093,0.7506
0.053,0.853,0.093,0.7506
0.033,0.826,0.141,0.9729
0.033,0.826,0.141,0.9729
0.0,0.847,0.153,0.8074
0.0,0.847,0.153,0.8074
0.0,0.915,0.085,0.4019
0.0,0.915,0.085,0.4019
0.0,0.958,0.042,0.3818
0.0,0.958,0.042,0.3818
0.03,0.941,0.029,-0.0258
0.03,0.941,0.029,-0.0258
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.056,0.944,0.0,-0.5719
0.056,0.944,0.0,-0.5719
0.06,0.76,0.181,0.8271
0.06,0.76,0.181,0.8271
0.028,0.823,0.148,0.7845
0.028,0.823,0.148,0.7845
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.107,0.876,0.017,-0.8834
0.107,0.876,0.017,-0.8834
0.0,0.988,0.012,0.0258
